pdate,pdate 2,marka,cheader,cheader 2,comments,comments_stemmed
Nov 20,2008,Monte Carlo SS 3.8L V6,Intake Gasket Failure,"52,096 miles","Well it appears that the verdict is in! GM and Chevrolet have a serious problem with their Monte Carlo and Malibu models! Across the board, right at 50k miles the intake manifold gasket is set to blow. I guess that is why their warranty is only 3yrs/36k miles. Its no wonder why they are no longer competitive in the auto industry. When compared to the 10yr/100k mile warranties out there, their 3/36 warranty speaks volumes about the reliability of their cars. Lesson learned!","['well', 'appear', 'verdict', 'gm', 'chevrolet', 'seriou', 'problem', 'mont', 'carlo', 'malibu', 'model', 'across', 'board', 'right', '50k', 'mile', 'intak', 'manifold', 'gasket', 'set', 'blow', 'guess', 'warranti', '3yrs36k', 'mile', 'wonder', 'longer', 'competit', 'auto', 'industri', 'compar', '10yr100k', 'mile', 'warranti', '336', 'warranti', 'speak', 'volum', 'reliabl', 'car', 'lesson', 'learn']"
Feb 04,2008,Monte Carlo 3.4L,Intake Gasket Failure,"50,000 miles","starts out my oil is gone- take it in -my intake gasket is shot- 3 months later my air compressor is shot and engine is still leaking oil- $3,000 into it so far- I tried to trade the piece of c in but my credit is shot now- I hate chevy they are the worst never again --- 50,000 miles it should be running like a charm- lol -not a john deer 5 horse piece of garbage","['start', 'oil', 'gone', 'take', 'intak', 'gasket', 'shot', '3', 'month', 'later', 'air', 'compressor', 'shot', 'engin', 'still', 'leak', 'oil', '3000', 'far', 'tri', 'trade', 'piec', 'c', 'credit', 'shot', 'hate', 'chevi', 'worst', 'never', '50000', 'mile', 'run', 'like', 'charm', 'lol', 'john', 'deer', '5', 'hors', 'piec', 'garbag']"
May 01,2008,Monte Carlo LS 3.4L,Intake Gasket Failure,"58,409 miles","Please let this be a lesson to everyone thinking General Motors has fixed their problems...they haven't. I recently had the intake gasket repaired on my 2002 Olds Alero...under Warranty. They told me my 2003 Monte Carlo would not have the same problem as they fixed it forever...new threaded bolts blah..blah..blah! Guess what? It went and out of Warranty. Guess again.....i traded it in, now thay can have their Chevy junk back and I will never never never buy G.M. again. I bought a brand new 2008 Honda Accord and hope to never see the repair guys like i got to know them at the G.M. Dealership. Now to get rid of the Alero and G.M. forever.","['pleas', 'let', 'lesson', 'everyon', 'think', 'gener', 'motor', 'fix', 'problemsthey', 'havent', 'recent', 'intak', 'gasket', 'repair', '2002', 'old', 'aleround', 'warranti', 'told', '2003', 'mont', 'carlo', 'would', 'problem', 'fix', 'forevernew', 'thread', 'bolt', 'blahblahblah', 'guess', 'went', 'warranti', 'guess', 'againi', 'trade', 'thay', 'chevi', 'junk', 'back', 'never', 'never', 'never', 'buy', 'gm', 'bought', 'brand', 'new', '2008', 'honda', 'accord', 'hope', 'never', 'see', 'repair', 'guy', 'like', 'got', 'know', 'gm', 'dealership', 'get', 'rid', 'alero', 'gm', 'forev']"
Aug 14,2012,Stratus 2.7L,Oil Sludge Resulting In Engine Failure,"89,000 miles","Worst car I've EVER owned!!! Every single month I was repairing one thing or another. In the year and a half I owned it I replaced the wheel bearing on the passenger side 3 times. 3 months after repairing the motor there was a problem in the timing chain area that could not be repaired, the only fix was to replace the motor. Getting rid of that car was the best thing I've ever done.","['worst', 'car', 'ive', 'ever', 'own', 'everi', 'singl', 'month', 'repair', 'one', 'thing', 'anoth', 'year', 'half', 'own', 'replac', 'wheel', 'bear', 'passeng', 'side', '3', 'time', '3', 'month', 'repair', 'motor', 'problem', 'time', 'chain', 'area', 'could', 'repair', 'fix', 'replac', 'motor', 'get', 'rid', 'car', 'best', 'thing', 'ive', 'ever', 'done']"
Dec 22,2010,Stratus LS 2.7L,Oil Sludge Resulting In Engine Failure,"99,879 miles",I would see so many dodge stratus cars everywhere and I would say to myself I have to get a car like that. Well in 2007 I did. I bought a 2003 V2.7 at about $2300. I thought wow it was a good deal considering the book value was like 5000. The car drove very well and I thought what a great buy. I used my car for work only and my job is like 10 min. away so I did not use my car that much. I bought it with 67000 miles on it and in three years I put in about 30000 since. Well like clock work as soon as I hit 100000 mark I started to hear noises and my heater stopped working. I took it to the shop and was told that the engine had coolant mixed in with oil and that it was not worth the money since it was going to need a new engine.,"['would', 'see', 'mani', 'dodg', 'stratu', 'car', 'everywher', 'would', 'say', 'get', 'car', 'like', 'well', '2007', 'bought', '2003', 'v27', '2300', 'thought', 'wow', 'good', 'deal', 'consid', 'book', 'valu', 'like', '5000', 'car', 'drove', 'well', 'thought', 'great', 'buy', 'use', 'car', 'work', 'job', 'like', '10', 'min', 'away', 'use', 'car', 'much', 'bought', '67000', 'mile', 'three', 'year', 'put', '30000', 'sinc', 'well', 'like', 'clock', 'work', 'soon', 'hit', '100000', 'mark', 'start', 'hear', 'nois', 'heater', 'stop', 'work', 'took', 'shop', 'told', 'engin', 'coolant', 'mix', 'oil', 'worth', 'money', 'sinc', 'go', 'need', 'new', 'engin']"
Oct 13,2009,Stratus ES 2.7L V6,Oil Sludge Resulting In Engine Failure,"65,000 miles",All I have to say is how do I join the law suit? I hear there's a class action in the works and would like to have the manufacturer pay to replace my engine. Other rants really don't matter. Just make the situation right.,"['say', 'join', 'law', 'suit', 'hear', 'there', 'class', 'action', 'work', 'would', 'like', 'manufactur', 'pay', 'replac', 'engin', 'rant', 'realli', 'dont', 'matter', 'make', 'situat', 'right']"
Jan 08,2010,Stratus RT 2.7L V6,Oil Sludge Resulting In Engine Failure,"150,000 miles","when it rains, it pours. laid-off, pregnant wife, and a blown motor i can't afford to replace. i really liked that car too. this is a dirty trick, dodge. i took very good care of that car, and any other would have had a lot of life left in it.","['rain', 'pour', 'laidoff', 'pregnant', 'wife', 'blown', 'motor', 'cant', 'afford', 'replac', 'realli', 'like', 'car', 'dirti', 'trick', 'dodg', 'took', 'good', 'care', 'car', 'would', 'lot', 'life', 'left']"
Nov 07,2008,Stratus SE 2.7L,Oil Sludge Resulting In Engine Failure,"142,000 miles","I heard that the sludge problem was corrected for cars built after 2002. I found out the hard way that is not true. My car needs a new oil pump, but I have read enough complaints to understand that the new part is only the tip of the iceberg. I will try and sell this car as soon I get it running again. I started getting a warning oil light that went off when the car was above 1200 rpms. I checked oil for level, it was fine. I kept driving, after about two weeks, the warning light stayed on non stop after the car warmed up. On the last day, it started making noised under the hood, I have parked it, until I am able to take the timing chain and water pump off to inspect the oil pump. I am hoping to have it running again in a few weeks. Then it goes up for sale.","['heard', 'sludg', 'problem', 'correct', 'car', 'built', '2002', 'found', 'hard', 'way', 'true', 'car', 'need', 'new', 'oil', 'pump', 'read', 'enough', 'complaint', 'understand', 'new', 'part', 'tip', 'iceberg', 'tri', 'sell', 'car', 'soon', 'get', 'run', 'start', 'get', 'warn', 'oil', 'light', 'went', 'car', '1200', 'rpm', 'check', 'oil', 'level', 'fine', 'kept', 'drive', 'two', 'week', 'warn', 'light', 'stay', 'non', 'stop', 'car', 'warm', 'last', 'day', 'start', 'make', 'nois', 'hood', 'park', 'abl', 'take', 'time', 'chain', 'water', 'pump', 'inspect', 'oil', 'pump', 'hope', 'run', 'week', 'goe', 'sale']"
Apr 09,2007,Stratus R/T 3.0 L V6,Oil Sludge Resulting In Engine Failure,"34,000 miles","Started hearing a loud knocking noise so took the car in to the dealership. Was told that engine sludge was the case and was told that I caught the problem in the nick of time. Engine head was cleaned and oil was replaced. Soon after the noise started again and I took the car back in only to hear that due to lack of maintenance I was unable to receive a new engine under warranty, even though they just replaced my oil and cleaned the engine... Just in the nick of time they said? So I got the engine replaced by a friend at a small mechanic shop up North, same model engine with about 33,000 miles. Again the engine began to knock and was told that it too was ruined. Now I will be getting my third engine in hopes that I can get it to the dealership in time to trade it before it starts knocking too.","['start', 'hear', 'loud', 'knock', 'nois', 'took', 'car', 'dealership', 'told', 'engin', 'sludg', 'case', 'told', 'caught', 'problem', 'nick', 'time', 'engin', 'head', 'clean', 'oil', 'replac', 'soon', 'nois', 'start', 'took', 'car', 'back', 'hear', 'due', 'lack', 'mainten', 'unabl', 'receiv', 'new', 'engin', 'warranti', 'even', 'though', 'replac', 'oil', 'clean', 'engin', 'nick', 'time', 'said', 'got', 'engin', 'replac', 'friend', 'small', 'mechan', 'shop', 'north', 'model', 'engin', '33000', 'mile', 'engin', 'began', 'knock', 'told', 'ruin', 'get', 'third', 'engin', 'hope', 'get', 'dealership', 'time', 'trade', 'start', 'knock']"
Feb 12,2007,Stratus SE 2.7,Oil Sludge Resulting In Engine Failure,"99,425 miles","This is my second Dodge. My first was used(30,000 miles), so I figured the problems were related to the previous owner. Nope!!!!!! I bought a ""NEW"" 2003 Stratus 2.7L V6 in October of 2002. I have had every oil change at under 3300 miles, all documented by Jiffy-Lube, and all other services done at the Jack Caruso Regency Dodge here in Jacksonville. Cooling-system replaced @ 98848 miles = $1760. Engine headed to the shop this afternoon for estimate @ 99642 miles = (proposed estimate) $ARM & LEG.","['second', 'dodg', 'first', 'used30000', 'mile', 'figur', 'problem', 'relat', 'previou', 'owner', 'nope', 'bought', 'new', '2003', 'stratu', '27l', 'v6', 'octob', '2002', 'everi', 'oil', 'chang', '3300', 'mile', 'document', 'jiffylub', 'servic', 'done', 'jack', 'caruso', 'regenc', 'dodg', 'jacksonvil', 'coolingsystem', 'replac', '98848', 'mile', '1760', 'engin', 'head', 'shop', 'afternoon', 'estim', '99642', 'mile', 'propos', 'estim', 'arm', 'leg']"
Oct 30,2006,Stratus SE 2.7L V6,Oil Sludge Resulting In Engine Failure,"70,810 miles","Replace 2.7L V6 with used engine, $4200.00 no warranty, use rebuilt engine with warranty add $ 6200.00, Sound like a credit card commercial. But, its the cost estimate that the dealership just gave me. Hell, this car is not worth it. It was a nice car and ran great day before yesterday, but not any more. The oil looks like sludge and the mechanic says the pan is full of brass. Says its not worth fixing, replace with a used engine.","['replac', '27l', 'v6', 'use', 'engin', '420000', 'warranti', 'use', 'rebuilt', 'engin', 'warranti', 'add', '620000', 'sound', 'like', 'credit', 'card', 'commerci', 'cost', 'estim', 'dealership', 'gave', 'hell', 'car', 'worth', 'nice', 'car', 'ran', 'great', 'day', 'yesterday', 'oil', 'look', 'like', 'sludg', 'mechan', 'say', 'pan', 'full', 'brass', 'say', 'worth', 'fix', 'replac', 'use', 'engin']"
Mar 06,2006,Stratus 2.7L V6,Oil Sludge Resulting In Engine Failure,"45,000 miles","I love my 2003 Dodge Stratus R/T from the very day I bought the car. Shortly after 30,000 miles it started blowing fuses. The dame car would not start and the Dodge dealership was no help. They said to leave it with them and they would try to figure the problem out. Yea right! They didn't. Well now the piece of  is at the Dodge place and  up because of engine sludge. They told me that there is nothing wrong with the 2.7 engine. My husband has read in magazines that the 2.7 engine causes engine sludge, so he changed the engine oil every 4,000 miles. Well it's  up now and with out any documents to prove that the engine oil was changed I'm out of luck. Yes I have extended coverage, but it's no dame good. Well the dame car will get fixed, but I do promise that the car will be traded before the month is out. My husband owns a 94 Dodge pickup and it will be traded Asap.","['love', '2003', 'dodg', 'stratu', 'rt', 'day', 'bought', 'car', 'shortli', '30000', 'mile', 'start', 'blow', 'fuse', 'dame', 'car', 'would', 'start', 'dodg', 'dealership', 'help', 'said', 'leav', 'would', 'tri', 'figur', 'problem', 'yea', 'right', 'didnt', 'well', 'piec', 'dodg', 'place', 'engin', 'sludg', 'told', 'noth', 'wrong', '27', 'engin', 'husband', 'read', 'magazin', '27', 'engin', 'caus', 'engin', 'sludg', 'chang', 'engin', 'oil', 'everi', '4000', 'mile', 'well', 'document', 'prove', 'engin', 'oil', 'chang', 'im', 'luck', 'ye', 'extend', 'coverag', 'dame', 'good', 'well', 'dame', 'car', 'get', 'fix', 'promis', 'car', 'trade', 'month', 'husband', 'own', '94', 'dodg', 'pickup', 'trade', 'asap']"
Feb 13,2005,Stratus 2.7L V6,Oil Sludge Resulting In Engine Failure,"49,000 miles","purchased 2003 stratus in july 2003 had approx 4400 miles I had extended warranty 7yr/70,000m. nov. 23, 2004 heard knocking noise. called dealer and told my problem was told to bring car in on friday because they were closed on thursday for thanksgiving. I asked if they wanted me to drive the car with knocking noise until friday she said yea if it breaks down we'll have it towed. next day the noise was worse I drove the car to Arrigo Dodge (just barely) I couldn't drive it into the service lane it was that bad. I was given a rental. to make a long story short after 1 week with my my car and several messages later. I was told that my extended warranty was not honored because sludge was found and that was due to lack of maintenance. produced reciepts and I was told they have to have oil tested at their lab. almost 2 weeks later and several phone calls later i was told the test came back contaminated and this was due to lack of maintanece. the car is presently at Arrigo Dodge and has been since 11/24/04. I still owe $20,000+ on the car the car will be repossessed because I cant't afford to pay for something that is not doing me any good. I am very fustrated and aggrivated I have been stressed out for the past 3 months, this has been one of the worst car buying experices I have ever encountered. I will never purchased anything from chrysler again. CHRYSLER SUCKS!!!!!!!!","['purchas', '2003', 'stratu', 'juli', '2003', 'approx', '4400', 'mile', 'extend', 'warranti', '7yr70000m', 'nov', '23', '2004', 'heard', 'knock', 'nois', 'call', 'dealer', 'told', 'problem', 'told', 'bring', 'car', 'friday', 'close', 'thursday', 'thanksgiv', 'ask', 'want', 'drive', 'car', 'knock', 'nois', 'friday', 'said', 'yea', 'break', 'well', 'tow', 'next', 'day', 'nois', 'wors', 'drove', 'car', 'arrigo', 'dodg', 'bare', 'couldnt', 'drive', 'servic', 'lane', 'bad', 'given', 'rental', 'make', 'long', 'stori', 'short', '1', 'week', 'car', 'sever', 'messag', 'later', 'told', 'extend', 'warranti', 'honor', 'sludg', 'found', 'due', 'lack', 'mainten', 'produc', 'reciept', 'told', 'oil', 'test', 'lab', 'almost', '2', 'week', 'later', 'sever', 'phone', 'call', 'later', 'told', 'test', 'came', 'back', 'contamin', 'due', 'lack', 'maintanec', 'car', 'present', 'arrigo', 'dodg', 'sinc', '112404', 'still', 'owe', '20000', 'car', 'car', 'repossess', 'cantt', 'afford', 'pay', 'someth', 'good', 'fustrat', 'aggriv', 'stress', 'past', '3', 'month', 'one', 'worst', 'car', 'buy', 'experic', 'ever', 'encount', 'never', 'purchas', 'anyth', 'chrysler', 'chrysler', 'suck']"
Jan 21,2017,Grand Caravan Mainstreet 3.2L V6,"TIPM Faulty, Will Not Start, Hard To Start","98,251 miles","This van has lots of electrical issues. It started with the doors and trunk opening on their own. Then the van would either be hard to start or not start at all. The next day or a couple days later, I'd try to start it and it would suddenly start. Occasionally, it would die while driving. I was able to get the temporary fix of bypassing the fuel pump relay finally and that fixed the starting problem. This is just a patch, not a permanent fix per the guy that sells them. Dodge has recalled other vehicles for but not the Grand Caravans which have the same TIPM. Alternator went out and next the PCM problems started.","['van', 'lot', 'electr', 'issu', 'start', 'door', 'trunk', 'open', 'van', 'would', 'either', 'hard', 'start', 'start', 'next', 'day', 'coupl', 'day', 'later', 'id', 'tri', 'start', 'would', 'suddenli', 'start', 'occasion', 'would', 'die', 'drive', 'abl', 'get', 'temporari', 'fix', 'bypass', 'fuel', 'pump', 'relay', 'final', 'fix', 'start', 'problem', 'patch', 'perman', 'fix', 'per', 'guy', 'sell', 'dodg', 'recal', 'vehicl', 'grand', 'caravan', 'tipm', 'altern', 'went', 'next', 'pcm', 'problem', 'start']"
Oct 07,2020,Grand Caravan Crew,"TIPM Faulty, Will Not Start, Hard To Start","80,000 miles","The van started having glitches in the windshield wipers, dvd system, head lights going on and off and now its only starts when it wants too! Started doing research and everything is linked to this module! The steering column wiring has been recalled but it's linked to this module. If its an ongoing problem with this year's vehicle they need to recall it and fix it!","['van', 'start', 'glitch', 'windshield', 'wiper', 'dvd', 'system', 'head', 'light', 'go', 'start', 'want', 'start', 'research', 'everyth', 'link', 'modul', 'steer', 'column', 'wire', 'recal', 'link', 'modul', 'ongo', 'problem', 'year', 'vehicl', 'need', 'recal', 'fix']"
Oct 09,2019,Grand Caravan Crew 3.5L V6,"TIPM Faulty, Will Not Start, Hard To Start","114,000 miles",Very disappointing they know what the problem is and won't fix. Hard to take on a fixed income.,"['disappoint', 'know', 'problem', 'wont', 'fix', 'hard', 'take', 'fix', 'incom']"
Dec 08,2018,Grand Caravan Crew 3.6L,"TIPM Faulty, Will Not Start, Hard To Start","74,565 miles","TIPMs from 2011 Grand Caravan should have a recall to replace them. How fair is that to the consumer when you know you have a problem with them? If this problem is not addressed soon, I will never buy Chrysler products again.","['tipm', '2011', 'grand', 'caravan', 'recal', 'replac', 'fair', 'consum', 'know', 'problem', 'problem', 'address', 'soon', 'never', 'buy', 'chrysler', 'product']"
Dec 14,2018,Grand Caravan Mainstreet 3.6,"TIPM Faulty, Will Not Start, Hard To Start","123,764 miles",This is the first and last Dodge vehicle I will ever own. TIPM went out. At first it didn't want to start. The van would just crank I did not even need to hold the key to start just turned it to start and it would keep cranking until it would start. Then shut off while driving. Very unsafe this should of been a recall after seeing all the other complaints. Replacement TIPM are around $800.00 plus labor. Dodge wants to replace fuel pump first before they will consider a new TIPM. I will buy a replacement TIPM and by pass Dodge installing it myself. Chrysler is lucky I did not have an accident in this van for I would of sued the daylights out of them for selling vehicles that are not safe and a hazard. Chrysler knows there faulty but will not recall them. Worst vehicle I have ever owned. Spends more time and money being repaired than on the road.,"['first', 'last', 'dodg', 'vehicl', 'ever', 'tipm', 'went', 'first', 'didnt', 'want', 'start', 'van', 'would', 'crank', 'even', 'need', 'hold', 'key', 'start', 'turn', 'start', 'would', 'keep', 'crank', 'would', 'start', 'shut', 'drive', 'unsaf', 'recal', 'see', 'complaint', 'replac', 'tipm', 'around', '80000', 'plu', 'labor', 'dodg', 'want', 'replac', 'fuel', 'pump', 'first', 'consid', 'new', 'tipm', 'buy', 'replac', 'tipm', 'pass', 'dodg', 'instal', 'chrysler', 'lucki', 'accid', 'van', 'would', 'su', 'daylight', 'sell', 'vehicl', 'safe', 'hazard', 'chrysler', 'know', 'faulti', 'recal', 'worst', 'vehicl', 'ever', 'own', 'spend', 'time', 'money', 'repair', 'road']"
Dec 20,2018,Grand Caravan Mainstreet 3.6L V6,"TIPM Faulty, Will Not Start, Hard To Start","78,000 miles","We have had multiple electrical issues with our 2011 Grand Caravan. Many times the car won't start (not even turn over), has difficulty starting, windows and/or doors randomly opening, check engine light, etc. All TIPM-related issues that others have reported. Dodge needs to recall this part because it causes a lot of financial problems for owners while they pay for unnecessary diagnostic testing and part replacements that do nothing to fix it.","['multipl', 'electr', 'issu', '2011', 'grand', 'caravan', 'mani', 'time', 'car', 'wont', 'start', 'even', 'turn', 'difficulti', 'start', 'window', 'andor', 'door', 'randomli', 'open', 'check', 'engin', 'light', 'etc', 'tipmrel', 'issu', 'other', 'report', 'dodg', 'need', 'recal', 'part', 'caus', 'lot', 'financi', 'problem', 'owner', 'pay', 'unnecessari', 'diagnost', 'test', 'part', 'replac', 'noth', 'fix']"
Oct 22,2018,Grand Caravan Crew 3.6L Vvt,"TIPM Faulty, Will Not Start, Hard To Start","207,000 miles","Sorry for such a lengthy post, because this will be a long one. I just want to express my regret for buying yet another Dodge. As most of you know, Brian and I own a home in Florida, so we drive back and forth A LOT and we put a ton of miles on a vehicle. BUT, if you've heard of a TIPM, chances are you own a vehicle from Fiat-Chrysler (FCA). Think of it like a command center for all the electrical functions of your car, and in FCA's case a very, very dysfunctional one.","['sorri', 'lengthi', 'post', 'long', 'one', 'want', 'express', 'regret', 'buy', 'yet', 'anoth', 'dodg', 'know', 'brian', 'home', 'florida', 'drive', 'back', 'forth', 'lot', 'put', 'ton', 'mile', 'vehicl', 'youv', 'heard', 'tipm', 'chanc', 'vehicl', 'fiatchrysl', 'fca', 'think', 'like', 'command', 'center', 'electr', 'function', 'car', 'fca', 'case', 'dysfunct', 'one']"
Apr 01,2018,Grand Caravan Crew 3.4L,"TIPM Faulty, Will Not Start, Hard To Start","107,000 miles",TIPM is faulty and have been replaced. Seems like it should have been recalled for the little $$ it actually costs to bypass it.,"['tipm', 'faulti', 'replac', 'seem', 'like', 'recal', 'littl', 'actual', 'cost', 'bypass']"
Oct 14,2017,Grand Caravan LX,"TIPM Faulty, Will Not Start, Hard To Start","60,000 miles","Started a couple months ago that when I tried to start the car, would crank but not turnover. After a few tries it would. Yesterday morning tried to start and it would crank but not turn over. Went online and I am sure this is the problem, the TIPM fuel relay switch.","['start', 'coupl', 'month', 'ago', 'tri', 'start', 'car', 'would', 'crank', 'turnov', 'tri', 'would', 'yesterday', 'morn', 'tri', 'start', 'would', 'crank', 'turn', 'went', 'onlin', 'sure', 'problem', 'tipm', 'fuel', 'relay', 'switch']"
Jun 15,2016,Grand Caravan Crew 3.6L,"TIPM Faulty, Will Not Start, Hard To Start","98,000 miles",Over a year ago intermittently when you would unlock the doors the horn would start going off and pushing the buttons on the fob after a couple minutes you could get it to stop (pulled fuses). Could not find anyone who had any idea what was causing it. Six months ago the battery started going dead had it checked and the alternator both were fine. Was able to track down that the TIPM had faulty relays that were not shutting down. Now the fuel pump runs non stop (must pull battery cable to keep battery from going dead). The horn relay and fuel pump relays are stuck and can not be replaced separately. From what I see online cost is about $1200 - 1500 to repair. Found a place to send the TIPM in and get it repaired for aprox. $300 and be without till it comes back or buy one off line but then you have to have it reprogramed for your rig.,"['year', 'ago', 'intermitt', 'would', 'unlock', 'door', 'horn', 'would', 'start', 'go', 'push', 'button', 'fob', 'coupl', 'minut', 'could', 'get', 'stop', 'pull', 'fuse', 'could', 'find', 'anyon', 'idea', 'caus', 'six', 'month', 'ago', 'batteri', 'start', 'go', 'dead', 'check', 'altern', 'fine', 'abl', 'track', 'tipm', 'faulti', 'relay', 'shut', 'fuel', 'pump', 'run', 'non', 'stop', 'must', 'pull', 'batteri', 'cabl', 'keep', 'batteri', 'go', 'dead', 'horn', 'relay', 'fuel', 'pump', 'relay', 'stuck', 'replac', 'separ', 'see', 'onlin', 'cost', '1200', '1500', 'repair', 'found', 'place', 'send', 'tipm', 'get', 'repair', 'aprox', '300', 'without', 'till', 'come', 'back', 'buy', 'one', 'line', 'reprogram', 'rig']"
Aug 11,2017,Grand Caravan Mainstreet,"TIPM Faulty, Will Not Start, Hard To Start","140,000 miles","STARTED WITH CHECK ENGINE LIGHT, TO THE ENGINE HITTING HARD WHEN PUTTING INTO DRIVE FROM REVERSE. THEN TO THE DOORS OPENING AND CLOSING WHEN I PUT VEHICLE IN PARK, THEN TO THE CAR NOT SHUTTING OFF WHEN I REMOVED THE KEY, TO THE CAR STARTING AND THEN DYING RANDOMLY, THEN FINALLY, THE CAR WOULD NOT TURN OVER WHEN I TRIED TO START THE CAR.","['start', 'check', 'engin', 'light', 'engin', 'hit', 'hard', 'put', 'drive', 'revers', 'door', 'open', 'close', 'put', 'vehicl', 'park', 'car', 'shut', 'remov', 'key', 'car', 'start', 'die', 'randomli', 'final', 'car', 'would', 'turn', 'tri', 'start', 'car']"
Jun 15,2015,Grand Caravan Crew 3.2L V6,"TIPM Faulty, Will Not Start, Hard To Start","45,000 miles","Van started having problems starting, then stalling out and left us stranded several times. Wipers go on and off whenever they chose, rear backup camera stopped working, interior lights and dash lights flash on and off whenever they want as well. Most severe was not starting especially since I still owe $8000 on this vehicle. Found a temporary solution through an internet search and it has saved us so far but it is only a band-aid. If anyone is interested in the temporary fix please email me as I am not certain if I can post the website here or not. The engineer who sells the fix guarantees his bypass. We have used his bypass since July 2015.","['van', 'start', 'problem', 'start', 'stall', 'left', 'us', 'strand', 'sever', 'time', 'wiper', 'go', 'whenev', 'chose', 'rear', 'backup', 'camera', 'stop', 'work', 'interior', 'light', 'dash', 'light', 'flash', 'whenev', 'want', 'well', 'sever', 'start', 'especi', 'sinc', 'still', 'owe', '8000', 'vehicl', 'found', 'temporari', 'solut', 'internet', 'search', 'save', 'us', 'far', 'bandaid', 'anyon', 'interest', 'temporari', 'fix', 'pleas', 'email', 'certain', 'post', 'websit', 'engin', 'sell', 'fix', 'guarante', 'bypass', 'use', 'bypass', 'sinc', 'juli', '2015']"
Jun 01,2017,Grand Caravan 3.6L,"TIPM Faulty, Will Not Start, Hard To Start","89,102 miles",We recently have been having issues with our van stalling while driving at all speed ranges. This is really concerning me as we most of the time have 3 children in this vehicle as it is used as our family vehicle and when it stalls you lose all control of the power steering and brakes which is really hazardous on the freeway.,"['recent', 'issu', 'van', 'stall', 'drive', 'speed', 'rang', 'realli', 'concern', 'time', '3', 'children', 'vehicl', 'use', 'famili', 'vehicl', 'stall', 'lose', 'control', 'power', 'steer', 'brake', 'realli', 'hazard', 'freeway']"
Mar 01,2017,Grand Caravan,"TIPM Faulty, Will Not Start, Hard To Start","85,000 miles",I have had problems off/on with my 2011 Dodge Grand Caravan cranking but not starting. The problem is getting worse and worried about the safety of my vehicle as it's our main source of transportation for our two young kids. I do not want to put out thousands I do not have when this issue should be recalled as its all over the internet as being an issue with pending lawsuits.,"['problem', 'offon', '2011', 'dodg', 'grand', 'caravan', 'crank', 'start', 'problem', 'get', 'wors', 'worri', 'safeti', 'vehicl', 'main', 'sourc', 'transport', 'two', 'young', 'kid', 'want', 'put', 'thousand', 'issu', 'recal', 'internet', 'issu', 'pend', 'lawsuit']"
Apr 12,2017,Grand Caravan 3.2L V6,"TIPM Faulty, Will Not Start, Hard To Start","113,000 miles","My 2011 Dodge Grand Caravan Battery indicator came on, door locks locked and unlocks, transmission goes in and out of gear and then van dies. I put in a new battery and it runs fine until battery discharges so i charge it again and run fine(battery indicator light stay on still). I am told that it's the TIPM.","['2011', 'dodg', 'grand', 'caravan', 'batteri', 'indic', 'came', 'door', 'lock', 'lock', 'unlock', 'transmiss', 'goe', 'gear', 'van', 'die', 'put', 'new', 'batteri', 'run', 'fine', 'batteri', 'discharg', 'charg', 'run', 'finebatteri', 'indic', 'light', 'stay', 'still', 'told', 'tipm']"
Jan 23,2017,Grand Caravan 3.6L,"TIPM Faulty, Will Not Start, Hard To Start","113,228 miles","I was having issues with my van starting. At first I thought it was just the weather as it started around Christmas. Then it started having issues all the time. I would have to put it in Neutral to get it to start, and even then it would take several tries throughout the day. I took it to a couple of places to have it looked at, and of course, every time it would start just fine for them. Finally, a friend looked at it and said that he had found online of the TIPM issues.","['issu', 'van', 'start', 'first', 'thought', 'weather', 'start', 'around', 'christma', 'start', 'issu', 'time', 'would', 'put', 'neutral', 'get', 'start', 'even', 'would', 'take', 'sever', 'tri', 'throughout', 'day', 'took', 'coupl', 'place', 'look', 'cours', 'everi', 'time', 'would', 'start', 'fine', 'final', 'friend', 'look', 'said', 'found', 'onlin', 'tipm', 'issu']"
Jan 14,2017,Grand Caravan Mainstreet 3.6L,"TIPM Faulty, Will Not Start, Hard To Start","99,156 miles",fix it!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,['fix']
