,pdate,pdate 2,marka,cheader,cheader 2,comments
10,Oct 01,2015,Fiesta SES,Transmission Failed,"100,000 miles","['ive', 'ever', 'driven', 'ford', 'ford', 'escort', 'station', 'wagon', 'ford', 'mustang', 'ford', 'explorer', 'transmission', 'problem', 'fouryear', 'old', '2011', 'ford', 'fiesta', 'vehicle', 'ford', 'dealership', 'month', 'notified', 'u', 'vehicle', 'would', 'ready', 'another', '2', '3', 'week', 'still', 'waiting', 'manual', 'transmission', 'availability', 'seven', 'week', 'without', 'vehicle', 'really', 'communication', 'initiation', 'part', 'since', 'dropoff', 'every', 'contact', 'given', 'run', 'around', 'four', 'week', 'wait', 'decided', 'go', '3500', 'work', 'sold', 'quality', 'time', 'whole', 'service', 'process', 'nothing', 'disappointing', 'one', 'point', 'time', 'ford', 'exemplified', 'stellar', 'service', 'quality', 'however', 'guarantee', 'never', 'buy', 'ford', 'affiliate', 'assured', 'express', 'sentiment', 'listen']"
11,Jul 17,2015,Fiesta SES,Transmission Failed,"60,000 miles","['got', '2011', 'ford', 'fiesta', 's', 'hatchback', 'used', 'february', '2013', 'tough', 'choice', 'honda', 'fit', 'fiesta', 'went', 'fiesta', 'god', 'wish', 'hadntin', 'june', 'couldnt', 'turn', 'air', 'without', 'car', 'making', 'extremely', 'loud', 'whirring', 'sound', 'turn', 'needed', 'kind', 'converter', 'replaced', '600', 'got', 'car', 'back', 'week', 'later', 'way', 'home', 'mechanic', 'car', 'would', 'blow', 'hot', 'air', 'drove', 'right', 'backanother', 'week', 'went', 'finally', 'got', 'back', 'couple', 'day', 'pulling', 'parking', 'lot', 'sitting', 'light', 'ready', 'turn', 'left', 'rpm', 'shot', 'several', 'time', 'foot', 'break', 'car', 'began', 'shake', 'mildly', 'rpm', 'finally', 'shot', '0', 'car', 'lost', 'power', 'except', 'battery', 'put', 'car', 'park', 'shut', 'restarted', 'turned', 'back']"
12,Feb 10,2015,Fiesta Powershift 1.6L,Transmission Failed,"68,500 miles","['transmission', 'went', 'almost', 'warning', 'wouldnt', 'shift', 'right', 'took', 'transmission', 'specialist', 'find', 'wrong', 'hooked', 'computer', 'said', 'first', 'third', 'fifth', 'gear', 'engaging', 'starting', '2nd', 'shifting', '4th', '6th', 'gear', 'reverse', 'still', 'working', 'thankfully', 'however', 'get', 'fixed', 'biggest', 'problem', 'since', 'new', 'relatively', 'vehicle', 'ford', 'makingselling', 'part', 'fix', 'transmission', 'guy', 'said', 'could', 'fix', 'around', '2000', 'part', 'available', 'since', 'available', 'alternative', 'replace', 'transmission', 'part', 'wholesale', 'price', 'would', '3900', 'new', 'transmission', 'would', 'guaranteed', 'work', '3', 'year', 'plus', 'labor', 'install', 'total', '4800', 'checked', 'ford', 'still', 'selling', 'part', 'guess', 'ill', 'sell', 'get', 'cant', 'see', 'spending', 'another', '5k', '3', 'year', 'drove', 'around', 'town', 'another', '45', 'day', 'another', 'gear', 'went', 'wont', 'go', '30', 'mile', 'per', 'hour', 'unless', 'im', 'downward', 'incline', 'might', 'get', '38', '40', 'mph', 'cant', 'sustain', 'speed', 'level', 'ground', 'guess', 'lost', '4th6th', 'gear', 'anyone', 'wan', 'na', 'buy', 'gon', 'na', 'wait', 'recall', 'came', 'ford', 'fixed', 'free', 'im', 'giving', 'lol']"
13,Feb 21,2015,Fiesta Powershift 1.6L,Transmission Failed,"46,603 miles","['transmission', 'chugged', 'going', '1st', '2nd', '4th', '5th', 'dealership', 'said', 'wait', 'till', 'broke', 'side', 'road', 'would', 'come', 'pick', 'nice', 'pay', 'extra', 'warranty', 'told', 'wasnt', 'common', 'problem', 'took', 'another', 'dealership', 'said', 'common', 'part', 'back', 'order', 'turn', 'put', 'band', 'aid', 'bigger', 'problem', 'less', '3', 'month', 'later', 'car', 'back', 'complete', 'failure', 'engine', 'rev', '5000', 'rpm', 'second', 'touch', 'gas', 'pedal', 'dealership', 'trying', 'say', 'covered']"
14,Apr 08,2013,Fiesta Powershift 1.6L,Transmission Failed,"58,000 miles","['going', 'maybe', '35mph', 'transmission', 'started', 'making', 'horrible', 'grinding', 'noise', 'couldnt', 'go', '20', 'mph', 'itd', 'sound', 'like', 'going', 'explode', 'ford', 'dealership', 'came', 'got', 'next', 'day', 'luckily', 'still', 'warranty', 'barely', '2000', 'mile', 'warranty', 'ford', 'dealership', 'ordered', 'part', 'find', 'back', 'order', 'idea', 'long', 'going', 'came', 'waiting', 'two', 'month', 'finally', 'got', 'car', 'back', 'wasnt', 'received', 'part', 'back', 'order', 'instead', 'ordered', 'brand', 'new', 'transmission', 'came', 'part', 'happened', 'long', 'taken', 'dealership', 'telling', 'taking', 'forever', 'shift', 'telling', 'everything', 'looked', 'fine', 'needless', 'say', 'wasnt', 'happy', 'camper']"
15,Jun 01,2023,Outback 2.5i Limited 2.5L 4-cyl,Excessive Oil Consumption,"145,000 miles","['bought', 'used', '2013', 'outback', 'add', 'quart', 'oil', 'every', '20002500', 'mile', 'thankfully', 'alert', 'oil', 'level', 'low', 'dont', 'keep', 'checking', 'bit', 'expensive', 'time', 'there', 'sign', 'leaking', 'anywhere', 'get', 'burnt', 'apparently']"
16,Mar 20,2018,Outback 2.5 Limited 4v,Excessive Oil Consumption,"169,021 miles","['buy', 'model', 'oh', 'god', 'put', 'oil', 'every', '350', 'mile', 'im', 'still', 'paying', 'car', 'freakin', 'light', 'dashboard', 'currently', 'p0420', 'code', 'coming', 'ive', 'spent', 'much', 'money', 'oil', 'keep', 'going', 'thickest', 'synthetic', 'oil', 'take', 'still', 'nothing', 'change', 'solution', 'fix', 'leaking', 'oil', 'gasket', 'get', 'new', 'engine', 'point', 'worth', 'car', 'stop', 'fast', 'light', 'traffic', 'engine', 'stall', 'engine', 'doesnt', 'stall', 'feel', 'engine', 'shaking', 'idling', 'wait', 'get', 'rid', 'car']"
17,Jun 01,2014,Outback Limited 2.4L,Excessive Oil Consumption,"149,600 miles","['reported', 'another', 'complaint', 'add', 'oil', 'least', 'oil', 'change', 'change', 'oil', 'every', '7500', 'mile', 'go', 'long', 'trip', '1000', 'mile', 'round', 'trip', 'always', 'add', 'quart', 'oil', '6', 'year', 'purchased', 'car', 'used', '12500', 'mile', 'february', '2013', 'grown', 'accustomed', 'checking', 'oil', 'especially', 'take', 'long', 'trip', 'usually', 'im', 'reminded', 'oil', 'light', 'come', 'add', 'quart', 'oil', 'car', 'never', 'missed', 'manufacturer', 'recommended', 'service', 'always', 'serviced', 'subaru', 'dealer', 'car', 'run', 'great', 'annoyingi', 'chalked', 'subarus', 'finest', 'vehicle', 'year', 'second', '2013', 'subaru', 'first', 'one', 'totaled', 'accident', 'slippery', 'snow', 'covered', 'road', 'resulting', 'car', '180', 'flip', 'shallow', 'ravine', 'air', 'curtainsbags', 'deployed', 'properly', 'bluetooth', 'working', 'could', 'easily', 'dictate', '911', 'dial', 'walked', 'away', 'without', 'scratch', 'purchased', 'year', 'make', 'model', 'trim', 'subaru', 'sometimes', 'idiosyncrasy', 'depending', 'value', 'case', 'extra', '46', 'quart', 'oil', 'year']"
18,Jul 02,2019,Outback 2.4L,Excessive Oil Consumption,"86,000 miles","['many', 'others', 'noted', 'forum', 'car', 'oil', 'consumption', 'problem', 'took', 'nate', 'wade', 'subaru', 'salt', 'lake', 'city', 'problem', 'assessed', 'least', 'six', 'different', 'time', 'first', 'time', '3000', 'mile', 'oil', 'change', 'light', 'came', 'brought', 'nate', 'wade', 'started', 'oil', 'consumption', 'test', 'passed', 'problem', 'seemed', 'nonexistent', 'remainder', '5000', 'mile', 'next', 'changei', 'changed', 'oil', 'home', 'trip', 'calgary', 'almost', '3000', 'mile', 'nose', 'light', 'come', 'back', 'take', 'subaru', 'replace', 'oil', 'sensor', 'light', 'tell', 'definitely', 'fix', 'problem', 'topped', 'oil', 'sent', 'way', 'problem', 'next', 'changei', 'change', 'oil', 'place', 'come', 'issue', 'another', 'road', 'trip', 'understand', 'oil', 'problem', 'exacerbated', 'prolonged', 'trip', 'car', 'bought', 'car', 'intention', 'using', 'road', 'trip', 'especially', 'disappointingi', 'bring', 'issue', 'nate', 'wade', 'say', 'nothing', 'theyve', 'given', 'perfunctory', 'oil', 'consumption', 'test', 'want', 'explore', 'issue', 'contact', 'subaru', 'america', 'start', 'another', 'test', 'schedule', 'trip', 'grand', 'canyon', 'definitely', 'want', 'fail', 'test', 'problem', 'road', 'trip', 'might', 'well', 'take', 'one', 'check', 'oil', 'embarking', 'want', 'see', 'much', 'changed', 'course', 'trip', 'appalled', 'clearly', 'overfilled', 'oil', 'least', 'half', 'quart', 'half', 'distance', 'full', 'bottom', 'mark']"
19,Jun 30,2018,Outback Premium 2.5L,Excessive Oil Consumption,"98,500 miles","['bought', '2013', 'subaru', 'outback', 'audi', 'dealer', 'advertised', 'auto', 'trader', 'looking', 'subaru', 'found', 'good', 'price', 'extended', 'limited', 'warranty', 'pretty', 'good', 'deal', 'brought', 'interest', 'rate', 'point', 'made', 'less', 'affordable', 'two', 'week', 'purchased', 'oil', 'light', 'came', 'took', 'back', 'audi', 'told', 'take', 'subarui', 'took', 'subaru', 'oil', 'consumption', 'test', 'said', 'passed', 'found', 'car', 'several', 'time', 'previous', 'owner', 'issue', 'second', 'time', 'another', 'customer', 'problem', 'wrote', 'letter', 'second', 'test', 'done', 'sent', 'email', 'back', 'forth', 'subaru', 'representative', '7', 'month', 'avail', 'told', 'check', 'oil', 'every', 'time', 'filled', 'car', 'drive', '1500', 'mile', 'month', 'kidding', 'memy', 'car', 'requires', 'oil', 'topped', 'every', '1300', 'mile', 'less', 'test', 'limit', 'oil', 'consumption', 'is1200', 'ironic', 'vehicle', 'run', 'low', 'oil', 'approximately', '100', 'mile', 'set', 'limit', 'imposed', 'class', 'action', 'lawsuit', 'tell', 'subaru', 'figured', 'threshold', 'oil', 'running', 'low', 'set', 'threshold', 'customer', 'oil', 'consumption', 'test', 'pas', 'therefore', 'car', 'fixed', 'subaru', 'im', 'going', 'complain', 'website', 'twitter', 'put', 'sign', 'car', 'drive', 'around', 'three', 'five', 'county', 'every', 'month', 'telling', 'everyone', 'unbeknownst', 'bought', 'defective', 'vehicle', 'manufacturer', 'fix', 'even', 'though', 'several', 'mechanic', 'confirm', 'problem', 'say', 'vehicle', 'eventually', 'stop', 'working', 'piston', 'ring', 'defective']"
20,Feb 01,2013,Outback,Excessive Oil Consumption,"7,500 miles","['wifeâs', 'first', 'brand', 'new', 'car', 'ever', 'purchased', 'really', 'excited', 'itwe', 'heard', 'nothing', 'great', 'thing', 'subaruâs', 'finally', 'felt', 'like', 'âœgrown', 'upsâ', 'making', 'thought', 'mature', 'practical', 'decision', 'purchasing', '2013', 'subaru', 'outbackwe', 'two', 'kid', 'planning', 'traveling', 'researched', 'felt', 'like', 'âœgo', 'carâwe', 'also', 'looked', 'jeep', 'wrangler', 'toyota', '4runnerour', 'main', 'goal', 'car', 'could', 'go', '300k', 'build', 'life', 'memory', 'kid', 'along', 'wayafter', 'first', 'free', 'oil', 'change', 'outback', 'came', 'like', '2', 'yr', 'free', 'oil', 'change', '24k', 'something', 'like', 'noticed', 'oil', 'light', 'came', 'almost', 'week', 'done', 'wife', 'called', 'dealership', 'told', 'oil', 'burn', 'normal', 'wasnât', 'big', 'deal', 'added', 'qt', 'two', 'done', 'every', 'since', 'last', 'almost', '6', 'yr', 'got', 'notice', 'recall', 'never', 'oil', 'consumption', 'issue', 'car', 'need', 'little', 'tlc', 'maintenance', 'looking', 'around', 'online', 'figure', 'issue', 'along', 'inquiring', 'oil', 'consumption', 'issue', 'read', 'owner', 'complaining', 'thatâs', 'found', 'subaru', 'class', 'action', 'law', 'suit', 'back', '2016', 'fixing', 'issue', 'never', 'notified', 'dealership', 'sold', 'u', 'carnow', 'warranty', 'mileagethey', 'offer', 'oil', 'consumption', 'test', 'wouldnât', 'go', 'iâm', 'hoping', 'right', 'u', 'iâm', 'really', 'sure', 'theyâll', 'show', 'u', 'âœloveâfor', 'last', '6', 'yr', 'bought', 'countless', 'quart', 'oil', 'wished', 'gotten', '4runner', 'wrangler', 'ever', 'sincepretty', 'sure', 'never', 'purchase', 'another', 'subaru', 'againdarn', 'shame', 'paper', 'seem', 'like', 'âœgo', 'toâ', 'car', 'canât', 'beat', 'reality', 'iâm', 'sure', 'anyone', 'spend', 'hard', 'earned', 'money', 'brand', 'longertheir', 'marketing', 'department', 'fooled', 'u', '6', 'yr', 'ago', 'wonât', 'fall', 'againiâll', 'looking', 'vehicle', 'real', 'long', 'lasting', 'ability', 'track', 'record', 'prove', 'marketing', 'campaign', 'cute', 'dog', 'lgbtq', 'ad', 'manipulationiâm', 'writing', '12122018', 'outback', 'dealership', 'getting', 'oil', 'consumption', 'test', 'done', 'typei', 'even', 'get', 'b', 'technician', 'trying', 'sale', 'get', 'pay', 'light', 'bulb', 'replacement', 'light', 'wasnât', 'getting', 'air', 'bag', 'windshield', 'wiper', 'motor', 'recalled', 'fixedor', 'fact', 'radiator', 'went', 'right', 'two', 'yr', 'warranty', 'endedi', 'definitely', 'donât', 'get', 'loyal', 'brand', 'following', 'thingi', 'really', 'wanted', 'âœloveâ', 'outback', 'tooi', 'planning', 'upgrading', 'new', 'ascent', 'definitely', 'looking', 'grand', 'cherokee', '4runner', 'nowreally', 'bummed']"
21,Nov 03,2018,Outback 2.5i,Excessive Oil Consumption,"45,500 miles","['cant', 'believe', 'already', 'experienced', 'two', 'engine', 'issue', 'last', '5', 'year', 'bought', 'car', 'new', 'one', 'bought', '3', 'year', 'service', 'package', 'dealer', 'maintenance', 'service', 'engine', 'subaru', 'recommendation', 'last', 'year', 'issue', 'coolant', 'leaking', 'engine', 'regular', 'maintenance', 'service', 'dealer', 'still', '5', 'year', '60k', 'mileage', 'warranty', 'got', 'coverednow', '5', 'month', 'passing', '60', 'month', 'warranty', 'period', 'still', '50k', 'mileage', 'dealer', 'found', 'oil', 'leak', 'cam', 'carrier', 'problem', 'car', 'never', 'used', 'offroad', 'even', 'long', 'trip', 'used', 'commuter', 'car', 'fromto', 'work', 'pissed', 'unreliable', 'engine', 'seal', 'system', 'suggestion', 'keep', 'car', 'sell', 'really', 'worried', 'might', 'another', 'oil', 'leak', 'gasket', 'problem', 'even', 'fix', 'current', 'problem', 'dealer']"
22,Jun 04,2015,Outback 2.5i Premium 4 cyl,Excessive Oil Consumption,"120,000 miles","['purchased', '2013', 'outback', 'august', '2012', 'ira', 'subaru', 'danvers', 'first', 'issue', 'around', '65000', 'mile', 'oil', 'light', 'came', 'checked', 'oil', 'quart', 'still', '1500', 'mile', 'due', 'oil', 'change', 'talked', 'dealer', 'book', 'said', 'change', 'oil', 'every', '7500', 'mile', 'dealer', 'said', 'depended', 'drive', 'put', 'lot', 'mileage', 'car', 'recommended', 'changing', 'oil', 'every', '6000', 'mile', 'sounded', 'like', 'planit', 'got', 'progressively', 'worse', '92000', 'mile', 'adding', '34', 'qts', 'oil', 'per', 'oil', 'change', 'recommended', 'oil', 'consumption', 'test', 'done', 'also', 'told', 'order', 'fail', 'oct', 'car', 'going', 'qt', 'oil', 'every', '1200', 'mile', 'knew', 'time', 'wouldnt', 'fail', 'test', 'put', 'purchased', '100000', 'mile', 'extended', 'warranty', 'bought', 'car', 'concerned', 'warranty', 'would', 'expire', 'officially', 'failed', 'oct', 'told', 'dealer', 'twin', 'city', 'subaru', 'berlin', 'vt', 'shouldnt', 'matter', 'identified', 'problem', 'still', 'extended', 'warranty', 'finally', '107000', 'mile', 'confident', 'would', 'fail', 'test', 'done', 'failed', 'told', 'dealer', 'past', '100000', 'mile', 'mark', 'subaru', 'would', 'cover', 'repair', 'dealer', 'gave', 'phone', 'number', 'talk', 'subaru', 'directly', 'told', 'thingthe', 'car', '120000', 'mile', 'adding', '1', 'qt', 'every', '500600', 'mile', 'ridiculous', 'finished', 'paying', 'car', 'fall', 'car', 'like', 'worth', 'paid', 'would', 'ever', 'purchase', 'car', 'burning', 'much', 'oil', 'subaru', 'stand', 'behind', 'product', 'criminalwe', '2', 'subaru', 'outback', 'family', 'wife', '2015', 'outback', 'soon', 'zero', 'subaru', 'family', 'definitely', 'last', 'subaru', 'ever']"
23,Aug 03,2016,Outback 2.5L,Excessive Oil Consumption,"20,724 miles","['june', '2016', 'bought', '2013', 'outback', '25l', '19224', 'mile', 'subaru', 'dealership', '33', 'mile', 'home', 'town', 'paid', 'extra', 'certified', 'preowned', 'status', 'thought', 'good', 'deal', 'since', 'low', 'mile', 'dealership', 'told', 'previous', 'owner', 'older', 'couple', 'averaged', '5600', 'mile', 'yearof', 'course', 'month', '1500', 'mile', 'later', 'oil', 'light', 'came', 'stop', 'gas', 'station', 'put', 'quart', 'knew', 'wasnt', 'right', 'since', 'dealer', 'told', 'oil', 'change', 'wouldnt', 'add', 'change', 'oil', 'another', '6500', 'mile', 'investigation', 'learned', 'class', 'action', 'lawsuit', 'related', 'high', 'oil', 'consumption', 'many', 'subaru', 'model', 'including', 'ownnext', 'time', 'took', 'local', 'dealer', 'asked', 'oil', 'consumption', 'test', 'oil', 'change', 'filled', 'oil', 'told', 'bring', 'back', 'id', 'driven', '1200', '1500', 'mile', 'closer', '1500', 'mile', 'found', 'burned', 'twice', 'amount', 'oil', 'expected', 'said', 'car', 'still', 'warranty', 'going', 'replace', 'engine', 'block', 'january', '2017it', 'cost', 'anything', 'except', 'pain', 'aggravation', 'misled', 'original', 'dealership', 'knew', 'model', 'year', 'included', 'class', 'action', 'lawsuit', 'still', 'sold', 'typically', 'elevated', 'dealership', 'price', 'without', 'disclosing', 'issue', 'additionally', 'im', 'possession', 'car', 'engine', 'block', 'replaced', '24000', 'mile', 'likely', 'reduce', 'value', 'make', 'difficult', 'sell', 'private', 'market', 'trade', 'reasonable', 'amount']"
24,Apr 29,2016,Outback 2.5L,Excessive Oil Consumption,"123,058 miles","['retired', 'much', 'money', 'made', '1st', 'payment', '2013', 'subaru', 'outback', 'find', 'oil', 'consumption', 'outrageous', 'would', 'like', 'know', 'recall', 'fix', 'problemðÿðÿðÿ']"
25,Apr 01,2016,Outback Premium 2.5L,Excessive Oil Consumption,"12,400 miles","['vehicle', 'serviced', 'subaru', 'oil', 'consumption', 'test', 'informed', 'oil', 'consumption', 'spec', 'normal', 'consumption', 'verified', 'recordsevery', '500', 'mile', 'yellow', 'oil', 'light', 'come', 'requires', '5', 'half', 'quart', 'oil']"
26,Oct 30,2015,Outback Premium 2.5L,Excessive Oil Consumption,"112,000 miles","['last', '12', 'month', 'outback', 'burning', 'lot', 'oil', 'add', 'least', 'one', 'quart', 'every', '7500', 'mile', 'change', 'interval', 'past', 'month', 'seems', 'gotten', 'worse', 'recently', 'added', 'quart', 'week', 'later', 'another', 'quart', 'time', 'change', 'oil', 'wtf', '20', 'two', 'quart', 'synthetic', 'oil', 'another', '80', 'regular', 'oil', 'change', 'killing', 'drive', 'lot', 'im', 'thinking', 'getting', 'rid', 'car', 'issue', 'starting', 'crop', 'anyone', 'else', 'similar', 'experience', 'mileage', 'start', 'creep']"
27,Apr 01,2016,Outback Premium 2.5L,Excessive Oil Consumption,"22,752 miles","['every', '1000', 'mile', 'yellow', 'oil', 'light', 'come', 'engine', 'requires', 'one', 'quart', 'oil']"
